behavior_id,angle,angle_name,required_angle_controls,discovery_pairs,evaluation_pairs,independent_stress_validated
ioi_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,20,False
agreement_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,19,False
subject_extraction_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,19,False
passive_voice_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,19,False
reflexive_pronoun_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",5,13,False
relative_clause_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,19,False
coordination_behavior,1,Linguistic Structure (Syntax & Coreference),"Entity/order swaps, distractors, long-distance dependencies, agreement and coreference contrasts.",6,19,False
factual_recall_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",6,13,False
currency_knowledge_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",6,10,False
element_symbol_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",6,12,False
language_knowledge_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",1,1,False
continent_knowledge_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",1,1,False
planet_knowledge_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",1,1,False
landmark_country_behavior,2,Factual & World Knowledge,"Verified factual answers, held-out entities, matched-frequency distractors; isolate hops only for actual multi-hop tasks.",1,1,False
arithmetic_addition_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",6,12,False
magnitude_comparison_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",6,19,False
arithmetic_subtraction_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,5,False
arithmetic_multiplication_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,2,False
temporal_reasoning_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,1,False
spatial_reasoning_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,1,False
parity_reasoning_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,1,False
ordinal_reasoning_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",2,6,False
arithmetic_division_behavior,3,Reasoning & Arithmetic,"New operands and operators, direction changes, algorithmic versus memorized solutions.",1,1,False
induction_copying_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",6,19,False
translation_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,1,False
capitalization_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,1,False
antonym_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,1,False
first_letter_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,1,False
number_sequence_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,3,False
alphabet_sequence_induction_behavior,4,In-Context Learning / Induction,"New sequences and mappings, repeated-pattern controls, context and dependency-distance changes.",1,2,False
gender_bias_behavior,5,Social Bias & Fairness,Balanced demographic substitutions and matched contexts; association is not normative correctness.,6,19,False
age_bias_behavior,5,Social Bias & Fairness,Balanced demographic substitutions and matched contexts; association is not normative correctness.,1,1,False
nationality_bias_behavior,5,Social Bias & Fairness,Balanced demographic substitutions and matched contexts; association is not normative correctness.,1,1,False
appearance_bias_behavior,5,Social Bias & Fairness,Balanced demographic substitutions and matched contexts; association is not normative correctness.,1,1,False
occupation_pronoun_bias_behavior,5,Social Bias & Fairness,Balanced demographic substitutions and matched contexts; association is not normative correctness.,1,1,False
antonym_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",6,12,False
category_membership_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",6,8,False
synonym_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",1,1,False
part_whole_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",1,1,False
animal_young_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",1,1,False
hypernym_instance_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",1,1,False
word_sense_disambiguation_behavior,6,Lexical Semantics & Word Sense,"Sense and context changes, frequency controls, lexical versus relational effects.",1,1,False
sentiment_polarity_behavior,7,Sentiment & Emotion,"Negation, mixed valence, lexical controls and context-dependent sentiment.",1,1,False
